Stock Name,Time Frame,Zone,Entry Price,Stop Loss,Legout Date,Validation Issue,Zone Perfection,Entry Date,Status,Diff,Qty,Tgt,Yahoo Symbol,Last Close Price,Highligh,Diff %
OBEROIRLTY,2 HR,SZ,2122.1,2138.2,2025-01-13,All OK Zone ,Perfect Zone,,,-16.09999999999991,-3.105590062111819,2057.7,OBEROIRLTY.NS,1620.1,,-23.66
OIL,2 HR,DZ,184.5,183.45,2023-09-27,Love at first Sight Missing,Not Perfect,,,1.050000000000011,47.6190476190471,188.7,OIL.NS,399.15,,116.34
ONGC,2 HR,SZ,282.4,285.3,2024-10-21,Candle behind Legin & Not gud pattern,Not Perfect,,,-2.900000000000034,-17.24137931034462,270.7999999999998,ONGC.NS,235.68,,-16.54
PERSISTENT,2 HR,SZ,5615.2,5669.2,2025-07-24,UOC Formation,Doubt Zone,,,-54.0,-0.9259259259259259,5399.2,PERSISTENT.NS,5266.0,,-6.22
PFC,2 HR,SZ,556.8,560.0,2024-09-06,All Ok Zone,Perfect Zone,,,-3.200000000000045,-15.62499999999978,543.9999999999998,PFC.NS,415.7,,-25.34
PFC,2 HR,DZ,182.4,180.55,2023-07-24,Love at first Sight Missing,Perfect Zone,,,1.849999999999994,27.02702702702711,189.8,PFC.NS,415.7,,127.91
POWERGRID,2 HR,SZ,295.0,296.8,2025-07-30,All Ok Zone,Perfect Zone,,,-1.800000000000011,-27.7777777777776,287.8,POWERGRID.NS,288.15,,-2.32
RECLTD,2 HR,SZ,418.5,421.0,2025-06-12,Legin Formation Issue,Perfect Zone,,,-2.5,-20.0,408.5,RECLTD.NS,382.95,,-8.49
RECLTD,2 HR,SZ,605.8,609.9,2024-09-09,All Ok Zone,Perfect Zone,,,-4.100000000000023,-12.19512195121944,589.3999999999999,RECLTD.NS,382.95,,-36.79
RECLTD,2 HR,DZ,351.1,347.1,2023-12-01,Legout cover ,Perfect Zone,,,4.0,12.5,367.1,RECLTD.NS,382.95,,9.07
RELIANCE,2 HR,SZ,1546.0,1553.0,2025-07-09,All OK Zone,Perfect Zone,,,-7.0,-7.142857142857143,1518.0,RELIANCE.NS,1378.0,,-10.87
SAIL,2 HR,DZ,120.4,119.5,2025-08-04,All OK Zone,Perfect Zone,,,0.9000000000000057,55.5555555555552,124.0,SAIL.NS,121.92,Green,1.26
SAIL,2 HR,SZ,135.9,137.2,2025-07-25,Legin Candle m wick thoda jyda h,Doubt Zone,,,-1.299999999999983,-38.46153846153896,130.7000000000001,SAIL.NS,121.92,,-10.29
SBICARD,2 HR,DZ,678.5,674.5,2025-01-02,Love at first Sight Missing,Perfect Zone,,,4.0,12.5,694.5,SBICARD.NS,791.3,,16.62
SBICARD,1 HR,SZ,908.1,911.0,2025-07-18,Legout Formation / Wick jyda legout m,Doubt Zone,,,-2.899999999999977,-17.24137931034496,896.5000000000001,SBICARD.NS,791.3,,-12.86
SBILIFE,2 HR,DZ,1756.0,1746.5,2025-06-16,No White Area,Not Perfect,,,9.5,5.263157894736842,1794.0,SBILIFE.NS,1844.3,,5.03
TATACONSUM,2 HR,SZ,1193.0,1201.0,2024-10-03,UOC size big not gud zone,Doubt Zone,,,-8.0,-6.25,1161.0,TATACONSUM.NS,1055.9,,-11.49
TATACONSUM,2 HR,DZ,783.0,780.45,2023-06-07,Legout cover ,Doubt Zone,,,2.549999999999955,19.60784313725525,793.1999999999998,TATACONSUM.NS,1055.9,,34.85
TATAMOTORS,2 HR,SZ,711.1,715.5,2025-06-16,All Ok Zone But gurudev mana kia,Doubt Zone,,,-4.399999999999977,-11.36363636363642,693.5000000000001,TATAMOTORS.NS,660.75,,-7.08
TATAMOTORS,2 HR,SZ,877.0,889.25,2024-10-29,"Legout cross legin , Trap Only",Not Perfect,,,-12.25,-4.081632653061225,828.0,TATAMOTORS.NS,660.75,,-24.66
TATAMOTORS,2 HR,DZ,478.2,475.2,2023-05-08,All Ok Zone,Perfect Zone,,,3.0,16.66666666666667,490.2,TATAMOTORS.NS,660.75,,38.17
TATAPOWER,2 HR,DZ,372.5,369.25,2025-05-12,Minor Legout Formation Issue,Perfect Zone,,,3.25,15.38461538461539,385.5,TATAPOWER.NS,384.45,,3.21
TATASTEEL,2 HR,DZ,153.5,152.3,2025-08-04,All Ok Zone,Perfect Zone,,,1.199999999999989,41.66666666666706,158.3,TATASTEEL.NS,157.05,,2.31
TATASTEEL,2 HR,DZ,123.3,122.45,2025-01-14,Legout Size,Perfect Zone,,,0.8499999999999943,58.8235294117651,126.7,TATASTEEL.NS,157.05,,27.37
TECHM,2 HR,SZ,1605.0,1615.0,2025-07-17,Legout Formation / Wick jyda legout m,Doubt Zone,,,-10.0,-5.0,1565.0,TECHM.NS,1507.0,,-6.11
TORNTPHARM,2 HR,DZ,2528.0,2515.0,2024-05-10,All Ok Zone,Perfect Zone,,,13.0,3.846153846153846,2580.0,TORNTPHARM.NS,3604.1,,42.57
TORNTPOWER,2 HR,DZ,1011.0,997.4,2024-01-31,All Ok Zone,Perfect Zone,,,13.60000000000002,3.676470588235288,1065.4,TORNTPOWER.NS,1348.5,,33.38
TORNTPOWER,2 HR,DZ,851.0,838.9,2023-11-29,Legout cover ,Perfect Zone,,,12.10000000000002,4.13223140495867,899.4000000000001,TORNTPOWER.NS,1348.5,,58.46
TORNTPOWER,2 HR,DZ,592.6,586.8,2023-07-05,Legout cover ,Perfect Zone,,,5.800000000000068,8.620689655172312,615.8000000000003,TORNTPOWER.NS,1348.5,,127.56
TRENT,2 HR,SZ,8093.0,8165.0,2024-10-16,All Ok Zone,Perfect Zone,,,-72.0,-0.6944444444444444,7805.0,TRENT.NS,5424.0,,-32.98
TVSMOTOR,2 HR,DZ,2180.0,2168.0,2025-01-14,Legout cover ,Perfect Zone,,,12.0,4.166666666666667,2228.0,TVSMOTOR.NS,3013.0,,38.21
UNITDSPR,2 HR,DZ,947.6,943.7,2023-07-17,Legout cover ,Perfect Zone,,,3.899999999999977,12.8205128205129,963.1999999999999,UNITDSPR.NS,1309.0,,38.14
UNOMINDA,2 HR,DZ,499.0,495.55,2023-04-27,Legout cover ,Perfect Zone,,,3.449999999999989,14.49275362318845,512.8,UNOMINDA.NS,1133.9,,127.23
UPL,2 HR,DZ,448.0,444.1,2024-05-10,All Ok Zone,Perfect Zone,,,3.899999999999977,12.8205128205129,463.5999999999999,UPL.NS,684.9,,52.88
VBL,2 HR,DZ,413.5,409.0,2023-11-23,Not a zone,Not Perfect,,,4.5,11.11111111111111,431.5,VBL.NS,501.6,,21.31
WIPRO,2 HR,SZ,277.2,280.0,2025-03-12,Love at First sight missing,Perfect Zone,,,-2.800000000000011,-17.85714285714278,265.9999999999999,WIPRO.NS,244.78,,-11.7
WIPRO,1 HR,DZ,198.9,198.1,2023-11-29,All Ok Zone,Perfect Zone,,,0.8000000000000114,62.49999999999911,202.1000000000001,WIPRO.NS,244.78,,23.07
